token,neighbor,cosine
5,of,0.9720596557382598
5,n,0.9679538185399224
5,2004,0.9672825228339661
5,in,0.9650124859452898
5,and,0.963058366153074
5,on,0.9623298123299513
5,y,0.9613395177418054
5,4,0.9605601439749116
5,the,0.9578542736144526
5,may,0.9572422712896245
of,the,0.9885180661565273
of,and,0.9851417088334373
of,in,0.9845784197676793
of,n,0.9796202599260448
of,e,0.9763457694237324
of,a,0.9763136725776607
of,y,0.9760678963743162
of,f,0.9751769672600927
of,l,0.9749151205832625
of,he,0.9727052554838664
in,n,0.9873774301319278
in,of,0.9845784197676793
in,and,0.9830317515366036
in,the,0.9811353141893545
in,e,0.9809331640141419
in,for,0.9808064311753506
in,on,0.9806743093491159
in,a,0.9798630377898316
in,l,0.9783858199602662
in,g,0.9776891854030498
2004,may,0.9879856972107226
2004,software,0.9774714381677869
2004,on,0.9753524882356647
2004,572,0.9750389183478458
2004,563,0.97498150320424
2004,engineering,0.9734145466490571
2004,international,0.9677725443696867
2004,5,0.9672825228339661
2004,conference,0.966516896974408
2004,pages,0.9626701760683761
on,software,0.9870741267284263
on,international,0.9814816787255775
on,in,0.9806743093491159
on,conference,0.9801645072448764
on,n,0.9791418339111977
on,may,0.9772639135537061
on,2004,0.9753524882356647
on,engineering,0.9744638868036235
on,proceedings,0.9742469641038246
on,l,0.9707425090543564
and,a,0.9910489730960916
and,of,0.9851417088334373
and,in,0.9830317515366036
and,for,0.9814819477282376
and,n,0.9801430006494618
and,the,0.977877703840486
and,y,0.9777692848544117
and,e,0.9773851109084162
and,l,0.9760661448948815
and,g,0.9750002077622522
software,on,0.9870741267284263
software,engineering,0.9855993053366284
software,international,0.9788231307267025
software,2004,0.9774714381677869
software,may,0.9763501164237596
software,conference,0.9733403582851143
software,in,0.9723033891277231
software,n,0.9705523190977488
software,proceedings,0.9702915005381589
software,t,0.9693164728171614
the,of,0.9885180661565273
the,he,0.9831210153381341
the,in,0.9811353141893545
the,and,0.977877703840486
the,e,0.9769934921964654
the,is,0.9739624031324272
the,for,0.9735697306187261
the,a,0.9733423016412617
the,y,0.9718182854495316
the,f,0.9713815135655393
a,and,0.9910489730960916
a,in,0.9798630377898316
a,e,0.9792982636993577
a,l,0.9789605958922771
a,g,0.9773310422094275
a,of,0.9763136725776607
a,n,0.975999345761601
a,o,0.9753111574656601
a,to,0.9751586227361465
a,for,0.9747587222832507
4,3,0.9730063663329349
4,1,0.9706344444122434
4,10,0.9672197981721278
4,2,0.9668637123590759
4,7,0.9609904194068537
4,5,0.9605601439749116
4,6,0.9584075488191404
4,d,0.9490068147133073
4,y,0.946588492339245
4,of,0.9436288233319148
engineering,software,0.9855993053366284
engineering,conference,0.9799230726737678
engineering,pages,0.9753815355957149
engineering,on,0.9744638868036235
engineering,2004,0.9734145466490571
engineering,563,0.9707461924167576
engineering,572,0.969184785327908
engineering,proceedings,0.9668548580975455
engineering,conf,0.9655952711878214
engineering,press,0.9649414272701243
1,2,0.989798879465513
1,3,0.9891397739320513
1,6,0.9873291731571274
1,10,0.9807787325916157
1,4,0.9706344444122434
1,34,0.9440533386846142
1,with,0.9435589938915327
1,7,0.9432780258608542
1,0,0.9426368076747268
1,33,0.9395144392849043
for,is,0.9825299809316719
for,and,0.9814819477282376
for,in,0.9808064311753506
for,a,0.9747587222832507
for,the,0.9735697306187261
for,n,0.9729818638851058
for,e,0.9720490209511464
for,y,0.9693069126700105
for,g,0.9676897194870285
for,one,0.966702510151753
may,2004,0.9879856972107226
may,international,0.9779251571245478
may,on,0.9772639135537061
may,software,0.9763501164237596
may,563,0.9745559550118397
may,572,0.9743329748812832
may,engineering,0.9622598706669663
may,proceedings,0.9590082319242201
may,n,0.9586478495731485
may,conference,0.9579552042076057
to,s,0.9809761098604022
to,al,0.9779248736410004
to,changes,0.9758456749953668
to,a,0.9751586227361465
to,g,0.9749982739132523
to,history,0.9747052871301842
to,are,0.9745561979396906
to,from,0.9738905188410629
to,tion,0.9738431380015796
to,using,0.9737068606528092
3,1,0.9891397739320513
3,2,0.9875093176813736
3,6,0.9805156570212766
3,10,0.9744263993102521
3,4,0.9730063663329349
3,0,0.9532511248204172
3,30,0.9528196098749726
3,7,0.9517972933940231
3,20,0.9435458601875132
3,8,0.9378983473647062
10,1,0.9807787325916157
10,3,0.9744263993102521
10,6,0.9743820199508466
10,4,0.9672197981721278
10,2,0.9652050864584034
10,7,0.9436551222527975
10,5,0.927652488298002
10,0,0.9267500200420711
10,d,0.9255167589211599
10,with,0.9247053832301482
2,1,0.989798879465513
2,3,0.9875093176813736
2,6,0.9821254723100945
2,4,0.9668637123590759
2,10,0.9652050864584034
2,30,0.9548463570746443
2,with,0.9528904395467281
2,20,0.9506188962021209
2,0,0.9501957887403882
2,34,0.9410728585934409
is,for,0.9825299809316719
is,which,0.977920631249774
is,one,0.9765298824281149
is,a,0.9744507995527469
is,the,0.9739624031324272
is,and,0.9738777553382827
is,this,0.969998226842105
is,e,0.9651896246528116
is,in,0.9628347207614791
is,nd,0.9623801527236046
with,of,0.953254096370036
with,and,0.9529290943666404
with,2,0.9528904395467281
with,e,0.9527062380187863
with,g,0.9474045980321675
with,s,0.9471313151456289
with,the,0.9469081934610395
with,ing,0.9466110613831953
with,i,0.946401628130564
with,y,0.9453617153106575
conference,proceedings,0.9835986988538097
conference,international,0.9810519374410911
conference,on,0.9801645072448764
conference,engineering,0.9799230726737678
conference,software,0.9733403582851143
conference,2004,0.966516896974408
conference,icse,0.9639085480489422
conference,press,0.962271467369382
conference,26th,0.960733799189095
conference,563,0.9606576925377689
7,4,0.9609904194068537
7,8,0.9532870077038325
7,3,0.9517972933940231
7,10,0.9436551222527975
7,1,0.9432780258608542
7,26,0.9384052751059516
7,15,0.9342801013612999
7,16,0.9340926167070628
7,23,0.9320322209517731
7,9,0.9263021370028918
6,1,0.9873291731571274
6,2,0.9821254723100945
6,3,0.9805156570212766
6,10,0.9743820199508466
6,30,0.9635188191385271
6,20,0.9623264788205002
6,4,0.9584075488191404
6,0,0.9530028556138476
6,with,0.9283186766765478
6,50,0.9217424185257999
this,by,0.9717227117519148
this,and,0.9707308292573091
this,the,0.9706044262286992
this,is,0.969998226842105
this,one,0.9690888557006552
this,e,0.966632337430444
this,a,0.9660973000639578
this,ed,0.9658953851875496
this,for,0.9643577177033564
this,nd,0.9635687217829924
international,proceedings,0.9857726194625048
international,on,0.9814816787255775
international,conference,0.9810519374410911
international,software,0.9788231307267025
international,may,0.9779251571245478
international,2004,0.9677725443696867
international,engineering,0.9644743142915098
international,icse,0.961531804766721
international,26th,0.9604636489228637
international,563,0.9575459908908
at,the,0.9431289483531049
at,of,0.9428567794538323
at,5,0.9425881257699409
at,www,0.9302758579354917
at,y,0.928090021758145
at,p,0.9279910941102794
at,and,0.9275091619714102
at,in,0.9268753288681093
at,n,0.9250993854829765
at,http,0.9240667636326243
0,30,0.9564356058743106
0,3,0.9532511248204172
0,6,0.9530028556138476
0,20,0.9520963346630107
0,2,0.9501957887403882
0,1,0.9426368076747268
0,4,0.9360818533468411
0,50,0.9334187926840831
0,10,0.9267500200420711
0,60,0.9240110350574158
http,available,0.9642879652860334
http,www,0.9606152738387944
http,org,0.9580569456625831
http,online,0.9562913518768439
http,at,0.9240667636326243
http,acm,0.9210813087366332
http,2004,0.918507074827168
http,analysis,0.918281922832235
http,and,0.9178391466929823
http,5,0.9177250742689398
572,563,0.9998399898331771
572,press,0.975333219327873
572,2004,0.9750389183478458
572,may,0.9743329748812832
572,icse,0.9704043338061685
572,engineering,0.969184785327908
572,conference,0.9590778090965316
572,28,0.9584832300074204
572,26th,0.9580609577388599
572,software,0.9570761984007441
pages,conf,0.9800821553918806
pages,proc,0.9800100440408768
pages,engineering,0.9753815355957149
pages,11th,0.9715500153636305
pages,software,0.964450854603067
pages,2004,0.9626701760683761
pages,on,0.9575648735709212
pages,knowledge,0.9517136783714746
pages,99,0.9516253979116066
pages,c,0.9512172692470295
563,572,0.9998399898331771
563,press,0.977199145269484
563,2004,0.97498150320424
563,may,0.9745559550118397
563,icse,0.972911937602995
563,engineering,0.9707461924167576
563,26th,0.9609966877440659
563,conference,0.9606576925377689
563,software,0.9584174377799508
563,28,0.9576183328862615
mining,zimmermann,0.9720226448359199
mining,repositories,0.9693708616478887
mining,2003,0.9678203546873576
mining,university,0.9623092044894568
mining,software,0.9598872047616352
mining,on,0.95757104592277
mining,international,0.9574151638602824
mining,may,0.9567653044268143
mining,data,0.9566865841043868
mining,to,0.9549826685422268
cid,15,0.9829532255070343
cid,9,0.9827394840570589
cid,19,0.9815544535739992
